iter	Passed	Remaining
0	185	185105
1	198	98933
2	208	69394
3	217	54208
4	225	44928
5	234	38840
6	245	34844
7	255	31742
8	266	29306
9	275	27313
10	285	25660
11	294	24207
12	302	22930
13	310	21849
14	318	20935
15	327	20124
16	336	19454
17	345	18845
18	354	18293
19	363	17832
20	373	17390
21	381	16967
22	392	16668
23	401	16327
24	411	16041
25	421	15807
26	432	15570
27	441	15340
28	452	15136
29	460	14894
30	469	14686
31	479	14499
32	489	14351
33	499	14186
34	509	14042
35	520	13941
36	530	13805
37	539	13668
38	549	13541
39	558	13398
40	567	13267
41	575	13134
42	586	13061
43	596	12969
44	604	12827
45	613	12729
46	622	12627
47	632	12552
48	642	12475
49	651	12373
50	660	12297
51	670	12214
52	678	12132
53	687	12040
54	696	11963
55	704	11877
56	713	11799
57	721	11719
58	730	11657
59	739	11584
60	748	11528
61	758	11472
62	766	11405
63	776	11357
64	785	11305
65	795	11263
66	805	11217
67	814	11158
68	823	11110
69	832	11059
70	841	11013
71	849	10952
72	859	10911
73	867	10856
74	877	10818
75	886	10776
76	894	10727
77	904	10685
78	912	10638
79	921	10597
80	929	10546
81	938	10511
82	947	10470
83	955	10421
84	964	10378
85	973	10342
86	981	10299
87	990	10265
88	1001	10248
89	1010	10212
90	1019	10182
91	1027	10141
92	1035	10103
93	1044	10068
94	1053	10033
95	1061	9994
96	1069	9957
97	1077	9918
98	1086	9892
99	1095	9861
100	1104	9827
101	1112	9796
102	1120	9757
103	1128	9724
104	1136	9689
105	1145	9659
106	1154	9631
107	1163	9607
108	1171	9579
109	1179	9546
110	1187	9512
111	1195	9479
112	1203	9448
113	1213	9427
114	1221	9397
115	1229	9367
116	1237	9337
117	1245	9306
118	1252	9275
119	1260	9246
120	1268	9216
121	1276	9187
122	1286	9170
123	1296	9162
124	1307	9153
125	1315	9126
126	1324	9102
127	1333	9081
128	1342	9061
129	1352	9049
130	1361	9031
131	1370	9009
132	1378	8988
133	1387	8966
134	1397	8951
135	1406	8935
136	1414	8912
137	1424	8897
138	1432	8871
139	1440	8848
140	1448	8821
141	1456	8799
142	1464	8775
143	1472	8754
144	1481	8733
145	1490	8715
146	1497	8692
147	1506	8672
148	1514	8648
149	1523	8631
150	1533	8621
151	1543	8610
152	1552	8594
153	1560	8570
154	1568	8552
155	1577	8534
156	1590	8538
157	1612	8595
158	1631	8628
159	1646	8642
160	1655	8626
161	1663	8605
162	1673	8591
163	1680	8568
164	1690	8556
165	1700	8542
166	1708	8521
167	1717	8506
168	1725	8486
169	1735	8471
170	1742	8449
171	1751	8431
172	1759	8411
173	1767	8392
174	1776	8373
175	1785	8357
176	1793	8339
177	1804	8333
178	1812	8314
179	1820	8295
180	1829	8276
181	1837	8258
182	1846	8242
183	1854	8222
184	1862	8206
185	1870	8186
186	1878	8169
187	1886	8149
188	1895	8135
189	1903	8115
190	1912	8098
191	1919	8076
192	1928	8063
193	1935	8042
194	1944	8026
195	1951	8006
196	1960	7989
197	1967	7971
198	1976	7954
199	1984	7938
200	1994	7926
201	2002	7909
202	2010	7893
203	2018	7876
204	2027	7861
205	2035	7844
206	2043	7827
207	2052	7814
208	2060	7799
209	2068	7782
210	2077	7770
211	2085	7752
212	2094	7737
213	2102	7722
214	2112	7713
215	2121	7701
216	2130	7686
217	2139	7676
218	2147	7658
219	2157	7648
220	2165	7633
221	2174	7619
222	2183	7606
223	2194	7601
224	2203	7590
225	2211	7575
226	2221	7563
227	2229	7548
228	2239	7540
229	2247	7523
230	2257	7514
231	2265	7500
232	2274	7487
233	2282	7471
234	2290	7456
235	2297	7438
236	2307	7427
237	2315	7414
238	2323	7399
239	2332	7384
240	2341	7372
241	2349	7358
242	2356	7342
243	2365	7327
244	2372	7311
245	2379	7294
246	2387	7279
247	2395	7262
248	2402	7247
249	2410	7232
250	2418	7218
251	2426	7202
252	2434	7188
253	2442	7173
254	2451	7161
255	2458	7146
256	2467	7133
257	2475	7119
258	2483	7105
259	2491	7092
260	2500	7079
261	2508	7064
262	2516	7051
263	2523	7035
264	2531	7021
265	2539	7006
266	2548	6997
267	2557	6985
268	2566	6974
269	2574	6961
270	2582	6947
271	2590	6933
272	2598	6921
273	2641	6998
274	2659	7010
275	2668	7000
276	2678	6990
277	2686	6978
278	2695	6967
279	2704	6955
280	2713	6943
281	2723	6933
282	2731	6920
283	2740	6908
284	2748	6895
285	2757	6884
286	2765	6870
287	2775	6860
288	2783	6848
289	2793	6839
290	2802	6828
291	2814	6825
292	2825	6818
293	2834	6806
294	2843	6795
295	2851	6781
296	2860	6770
297	2868	6756
298	2876	6744
299	2884	6730
300	2895	6723
301	2903	6711
302	2912	6698
303	2921	6689
304	2929	6675
305	2938	6664
306	2946	6650
307	2956	6641
308	2963	6627
309	2971	6615
310	2980	6602
311	2989	6591
312	2997	6579
313	3006	6568
314	3015	6557
315	3024	6546
316	3033	6535
317	3041	6522
318	3049	6510
319	3057	6497
320	3066	6486
321	3075	6475
322	3083	6462
323	3091	6449
324	3100	6439
325	3108	6426
326	3118	6417
327	3125	6403
328	3136	6396
329	3143	6383
330	3153	6373
331	3162	6363
332	3170	6350
333	3179	6340
334	3188	6329
